[0.000000] (-) TimerEvent: {}
[0.000291] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000357] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000450] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.000479] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.000523] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.000544] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.000622] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.000633] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.000649] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.000665] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.000677] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.000738] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.000750] (-) JobUnselected: {'identifier': 'stm32_drone_control'}
[0.000761] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.000775] (eternalmorph_description) JobQueued: {'identifier': 'eternalmorph_description', 'dependencies': OrderedDict()}
[0.043389] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/gazebo.launch.py\n'}
[0.043431] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/controller.launch\n'}
[0.043497] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__\n'}
[0.043592] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/display.launch.cpython-310.pyc\n'}
[0.043634] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/gazebo.launch.cpython-310.pyc\n'}
[0.043675] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/katla.cpython-310.pyc\n'}
[0.043736] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/controller.yaml\n'}
[0.043777] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/urdf.rviz\n'}
[0.043818] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/display.launch.py\n'}
[0.043857] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/katla.py\n'}
[0.043915] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/katla.py\n'}
[0.043956] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/mode.py\n'}
[0.044050] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/katla\n'}
[0.044144] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/mode\n'}
[0.044224] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf\n'}
[0.044286] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.gazebo\n'}
[0.044329] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/materials.xacro\n'}
[0.044370] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.xacro\n'}
[0.044411] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.trans\n'}
[0.044451] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes\n'}
[0.044508] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/bacak_1.stl\n'}
[0.044552] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/base_link.stl\n'}
[0.044634] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_teker_1.stl\n'}
[0.044694] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_tutucu_parca_1.stl\n'}
[0.044748] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_pervane_1.stl\n'}
[0.044788] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_ust_motor_1.stl\n'}
[0.044832] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_tekerlek_eksen_1.stl\n'}
[0.044871] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_ust_motor_1.stl\n'}
[0.044910] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_teker_1.stl\n'}
[0.044949] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_ust_motor_1.stl\n'}
[0.044987] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_tutucu_parca_1.stl\n'}
[0.045027] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_pervane_1.stl\n'}
[0.045065] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_teker_1.stl\n'}
[0.045103] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_tekerlek_eksen_1.stl\n'}
[0.045141] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_ayak_1.stl\n'}
[0.045258] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_pervane_1.stl\n'}
[0.045401] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_tutucu_parca_1.stl\n'}
[0.045877] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_teker_1.stl\n'}
[0.045974] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_tekerlek_eksen_1.stl\n'}
[0.046053] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_tekerlek_eksen_1.stl\n'}
[0.046197] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_pervane_1.stl\n'}
[0.046255] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_tutucu_parca_1.stl\n'}
[0.046384] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_ust_motor_1.stl\n'}
[0.046504] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_ayak_1.stl\n'}
[0.046568] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/package_run_dependencies/eternalmorph_description\n'}
[0.046676] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/parent_prefix_path/eternalmorph_description\n'}
[0.046729] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/ament_prefix_path.sh\n'}
[0.046784] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/ament_prefix_path.dsv\n'}
[0.046826] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/path.sh\n'}
[0.046921] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/path.dsv\n'}
[0.047127] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.bash\n'}
[0.047190] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.sh\n'}
[0.047242] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.zsh\n'}
[0.047348] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.dsv\n'}
[0.047442] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/package.dsv\n'}
[0.047642] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/packages/eternalmorph_description\n'}
[0.047778] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/cmake/eternalmorph_descriptionConfig.cmake\n'}
[0.047870] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/cmake/eternalmorph_descriptionConfig-version.cmake\n'}
[0.048016] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/package.xml\n'}
[0.048194] (eternalmorph_description) CommandEnded: {'returncode': 0}
[0.058767] (eternalmorph_description) JobEnded: {'identifier': 'eternalmorph_description', 'rc': 0}
[0.059129] (-) EventReactorShutdown: {}
