[0.000000] (-) TimerEvent: {}
[0.000570] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000674] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000865] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.000911] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.000947] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.000992] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001023] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001036] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001067] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001080] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001203] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001231] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001258] (-) JobUnselected: {'identifier': 'stm32_drone_control'}
[0.001348] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001367] (eternalmorph_description) JobQueued: {'identifier': 'eternalmorph_description', 'dependencies': OrderedDict()}
[0.065618] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/gazebo.launch.py\n'}
[0.065663] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/controller.launch\n'}
[0.065705] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__\n'}
[0.065755] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/display.launch.cpython-310.pyc\n'}
[0.065815] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/gazebo.launch.cpython-310.pyc\n'}
[0.065893] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/__pycache__/katla.cpython-310.pyc\n'}
[0.065970] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/controller.yaml\n'}
[0.066031] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/urdf.rviz\n'}
[0.066084] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/display.launch.py\n'}
[0.066175] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/launch/katla.py\n'}
[0.066235] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/katla.py\n'}
[0.066298] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/mode.py\n'}
[0.066387] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/katla\n'}
[0.066445] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/lib/eternalmorph_description/mode\n'}
[0.066485] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf\n'}
[0.066524] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.gazebo\n'}
[0.066637] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/materials.xacro\n'}
[0.066836] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.xacro\n'}
[0.066910] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/urdf/eternalmorph.trans\n'}
[0.067106] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes\n'}
[0.067183] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/bacak_1.stl\n'}
[0.067244] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/base_link.stl\n'}
[0.067301] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_teker_1.stl\n'}
[0.067342] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_tutucu_parca_1.stl\n'}
[0.067383] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_pervane_1.stl\n'}
[0.067433] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_ust_motor_1.stl\n'}
[0.067480] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_tekerlek_eksen_1.stl\n'}
[0.067519] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_ust_motor_1.stl\n'}
[0.067557] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_teker_1.stl\n'}
[0.067596] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_ust_motor_1.stl\n'}
[0.067634] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_tutucu_parca_1.stl\n'}
[0.067677] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_pervane_1.stl\n'}
[0.067716] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_teker_1.stl\n'}
[0.067844] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_tekerlek_eksen_1.stl\n'}
[0.068056] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_ayak_1.stl\n'}
[0.068767] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_on_pervane_1.stl\n'}
[0.068922] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_tutucu_parca_1.stl\n'}
[0.069208] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_arka_teker_1.stl\n'}
[0.069316] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_tekerlek_eksen_1.stl\n'}
[0.069428] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_tekerlek_eksen_1.stl\n'}
[0.069545] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_pervane_1.stl\n'}
[0.069645] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_on_tutucu_parca_1.stl\n'}
[0.069895] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sol_arka_ust_motor_1.stl\n'}
[0.070059] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/meshes/sag_ayak_1.stl\n'}
[0.070258] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/package_run_dependencies/eternalmorph_description\n'}
[0.070461] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/parent_prefix_path/eternalmorph_description\n'}
[0.070624] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/ament_prefix_path.sh\n'}
[0.071137] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/ament_prefix_path.dsv\n'}
[0.071309] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/path.sh\n'}
[0.071552] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/environment/path.dsv\n'}
[0.071821] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.bash\n'}
[0.072036] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.sh\n'}
[0.072218] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.zsh\n'}
[0.072395] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/local_setup.dsv\n'}
[0.073100] (eternalmorph_description) StdoutLine: {'line': b'-- Installing: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/package.dsv\n'}
[0.073315] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/ament_index/resource_index/packages/eternalmorph_description\n'}
[0.073413] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/cmake/eternalmorph_descriptionConfig.cmake\n'}
[0.073485] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/cmake/eternalmorph_descriptionConfig-version.cmake\n'}
[0.073663] (eternalmorph_description) StdoutLine: {'line': b'-- Up-to-date: /home/emirhan/eternalmorph/src/morphobot-ros2/install/eternalmorph_description/share/eternalmorph_description/package.xml\n'}
[0.073831] (eternalmorph_description) CommandEnded: {'returncode': 0}
[0.089137] (eternalmorph_description) JobEnded: {'identifier': 'eternalmorph_description', 'rc': 0}
[0.090083] (-) EventReactorShutdown: {}
